timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710274650357,55, /notifications/get-notifications,200,OK,Test Thread Group 1-9,text,true,,561,370,20,20,http://172.167.242.26/notifications/get-notifications,55,0,0
1710274650361,53, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-15,text,true,,2731,368,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,53,0,0
1710274650376,54,/logs/fetch-all-habits,200,OK,Test Thread Group 1-7,text,true,,410,354,20,20,http://172.167.242.26/logs/fetch-all-habits,54,0,0
1710274650370,60,/logs/fetch-all-habits,200,OK,Test Thread Group 1-8,text,true,,410,360,20,20,http://172.167.242.26/logs/fetch-all-habits,60,0,0
1710274650371,58, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-5,text,true,,2731,368,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,58,0,0
1710274650376,55,/logs/fetch-all-habits,200,OK,Test Thread Group 1-12,text,true,,410,362,20,20,http://172.167.242.26/logs/fetch-all-habits,55,0,0
1710274650394,38, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-1,text,true,,2731,362,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,38,0,0
1710274650395,54,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-10,text,true,,1130,382,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c516aa,54,0,0
1710274650404,44,/logs/get-log-ids,200,OK,Test Thread Group 1-11,text,true,,2731,355,20,20,http://172.167.242.26/logs/get-log-ids,44,0,0
1710274650394,56,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-3,text,false,,355,448,20,20,http://172.167.242.26/dashboard/get-user-report-data,56,0,0
1710274650399,53,/exercise/get-workouts,200,OK,Test Thread Group 1-17,text,true,,524,362,20,20,http://172.167.242.26/exercise/get-workouts,53,0,0
1710274650401,52,/exercise/get-workouts,200,OK,Test Thread Group 1-20,text,true,,524,354,20,20,http://172.167.242.26/exercise/get-workouts,52,0,0
1710274650397,56, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-6,text,true,,2731,360,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,56,0,0
1710274650405,50,/logs/fetch-all-habits,200,OK,Test Thread Group 1-2,text,true,,410,354,20,20,http://172.167.242.26/logs/fetch-all-habits,50,0,0
1710274650404,51,/logs/fetch-all-habits,200,OK,Test Thread Group 1-4,text,true,,410,354,20,20,http://172.167.242.26/logs/fetch-all-habits,51,0,0
1710274650406,50,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-13,text,true,,616,386,20,20,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50f25,50,0,0
1710274650405,52,/exercise/get-workouts,200,OK,Test Thread Group 1-19,text,true,,524,362,20,20,http://172.167.242.26/exercise/get-workouts,51,0,0
1710274650413,58,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-9,text,false,,355,446,20,20,http://172.167.242.26/dashboard/get-user-report-data,58,0,0
1710274650416,56,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-15,text,true,,1109,390,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c5153c,56,0,0
1710274650356,119, /dashboard/get-workout-historic-data,200,OK,Test Thread Group 1-14,text,true,,1287,447,20,20,http://172.167.242.26/dashboard/get-workout-historic-data,119,0,0
1710274650432,44,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-5,text,true,,1195,390,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c5153e,44,0,0
1710274650432,45,/exercise/get-workouts,200,OK,Test Thread Group 1-7,text,true,,524,354,20,20,http://172.167.242.26/exercise/get-workouts,45,0,0
1710274650450,47,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-11,text,true,,618,382,20,20,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50ed9,47,0,0
1710274650450,47,/logs/get-log-ids,200,OK,Test Thread Group 1-10,text,true,,2731,347,20,20,http://172.167.242.26/logs/get-log-ids,47,0,0
1710274650434,66,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-1,text,true,,1105,384,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c51108,66,0,0
1710274650432,68,/exercise/get-workouts,200,OK,Test Thread Group 1-12,text,true,,524,362,20,20,http://172.167.242.26/exercise/get-workouts,68,0,0
1710274650392,112, /dashboard/get-workout-historic-data,200,OK,Test Thread Group 1-18,text,true,,1284,447,20,20,http://172.167.242.26/dashboard/get-workout-historic-data,112,0,0
1710274650451,54, /notifications/get-notifications,200,OK,Test Thread Group 1-3,text,true,,561,372,20,20,http://172.167.242.26/notifications/get-notifications,54,0,0
1710274650454,60, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-17,text,true,,2731,370,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,60,0,0
1710274650454,63, /logs/get-daily-log,200,OK,Test Thread Group 1-20,text,true,,622,351,20,20,http://172.167.242.26/logs/get-daily-log,63,0,0
1710274650456,61,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-6,text,true,,1036,382,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c516ac,61,0,0
1710274650457,61, /logs/get-daily-log,200,OK,Test Thread Group 1-4,text,true,,623,351,20,20,http://172.167.242.26/logs/get-daily-log,61,0,0
1710274650458,60,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-13,text,false,,355,450,20,20,http://172.167.242.26/dashboard/get-user-report-data,60,0,0
1710274650458,62, /logs/get-daily-log,200,OK,Test Thread Group 1-19,text,true,,621,359,20,20,http://172.167.242.26/logs/get-daily-log,62,0,0
1710274650457,63,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-2,text,false,,355,440,20,20,http://172.167.242.26/dashboard/get-user-report-data,63,0,0
1710274650431,99, /dashboard/get-workout-historic-data,200,OK,Test Thread Group 1-8,text,true,,1198,451,20,20,http://172.167.242.26/dashboard/get-workout-historic-data,99,0,0
1710274650393,138, /dashboard/get-workout-historic-data,200,OK,Test Thread Group 1-16,text,true,,1191,446,20,20,http://172.167.242.26/dashboard/get-workout-historic-data,138,0,0
1710274650477,62, /logs/get-daily-log,200,OK,Test Thread Group 1-5,text,true,,621,357,20,20,http://172.167.242.26/logs/get-daily-log,62,0,0
1710274650472,67, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-9,text,true,,2731,368,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,67,0,0
1710274650476,63, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-14,text,true,,2731,364,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,63,0,0
1710274650480,61, /notifications/get-notifications,200,OK,Test Thread Group 1-7,text,true,,561,364,20,20,http://172.167.242.26/notifications/get-notifications,61,0,0
1710274650473,68, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-15,text,true,,2731,368,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,68,0,0
1710274650499,53,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-10,text,true,,625,374,20,20,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50ff9,53,0,0
1710274650498,55,/exercise/get-workouts,200,OK,Test Thread Group 1-11,text,true,,524,360,20,20,http://172.167.242.26/exercise/get-workouts,55,0,0
1710274650501,52,/dashboard/get-user-report-data,400,Bad Request,Test Thread Group 1-12,text,false,,355,448,20,20,http://172.167.242.26/dashboard/get-user-report-data,52,0,0
1710274650501,52,/exercise/get-workouts,200,OK,Test Thread Group 1-1,text,true,,524,354,20,20,http://172.167.242.26/exercise/get-workouts,52,0,0
1710274650507,51, /logs/get-daily-log,200,OK,Test Thread Group 1-18,text,true,,619,353,20,20,http://172.167.242.26/logs/get-daily-log,51,0,0
1710274650507,52,/logs/get-log-ids,200,OK,Test Thread Group 1-3,text,true,,2731,357,20,20,http://172.167.242.26/logs/get-log-ids,52,0,0
1710274650516,44,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-17,text,true,,1105,392,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c51639,44,0,0
1710274650518,42,/logs/get-log-ids,200,OK,Test Thread Group 1-20,text,true,,2731,349,20,20,http://172.167.242.26/logs/get-log-ids,42,0,0
1710274650519,45,/logs/fetch-all-habits,200,OK,Test Thread Group 1-4,text,true,,410,354,20,20,http://172.167.242.26/logs/fetch-all-habits,45,0,0
1710274650519,47, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-13,text,true,,2731,372,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,47,0,0
1710274650521,52, /logs/get-daily-log,200,OK,Test Thread Group 1-2,text,true,,622,351,20,20,http://172.167.242.26/logs/get-daily-log,52,0,0
1710274650522,52, /notifications/get-notifications,200,OK,Test Thread Group 1-19,text,true,,561,372,20,20,http://172.167.242.26/notifications/get-notifications,52,0,0
1710274650532,43, /notifications/get-notifications,200,OK,Test Thread Group 1-16,text,true,,561,365,20,20,http://172.167.242.26/notifications/get-notifications,42,0,0
1710274650532,44,/logs/fetch-all-habits,200,OK,Test Thread Group 1-8,text,true,,410,360,20,20,http://172.167.242.26/logs/fetch-all-habits,44,0,0
1710274650541,35,/logs/get-log-ids,200,OK,Test Thread Group 1-5,text,true,,2731,355,20,20,http://172.167.242.26/logs/get-log-ids,35,0,0
1710274650555,37, /logs/get-daily-log,200,OK,Test Thread Group 1-11,text,true,,621,357,20,20,http://172.167.242.26/logs/get-daily-log,37,0,0
1710274650542,50,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-9,text,true,,1058,390,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c511e6,50,0,0
1710274650543,49,/logs/fetch-all-habits,200,OK,Test Thread Group 1-7,text,true,,410,354,20,20,http://172.167.242.26/logs/fetch-all-habits,49,0,0
1710274650543,53,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-15,text,true,,1195,390,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c5153e,53,0,0
1710274650543,54,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-14,text,true,,1085,386,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c51908,54,0,0
1710274650555,43,/exercise/get-workouts,200,OK,Test Thread Group 1-12,text,true,,524,362,20,20,http://172.167.242.26/exercise/get-workouts,43,0,0
1710274650561,37,/logs/get-log-ids,200,OK,Test Thread Group 1-18,text,true,,2731,351,20,20,http://172.167.242.26/logs/get-log-ids,37,0,0
1710274650555,54, /notifications/get-notifications,200,OK,Test Thread Group 1-1,text,true,,561,364,20,20,http://172.167.242.26/notifications/get-notifications,54,0,0
1710274650555,55,/exercise/get-workouts,200,OK,Test Thread Group 1-10,text,true,,524,352,20,20,http://172.167.242.26/exercise/get-workouts,55,0,0
1710274650561,49,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-3,text,true,,624,384,20,20,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50ef9,49,0,0
1710274650562,49,/logs/get-log-ids,200,OK,Test Thread Group 1-17,text,true,,2731,357,20,20,http://172.167.242.26/logs/get-log-ids,49,0,0
1710274650562,52,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-20,text,true,,621,376,20,20,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50eae,52,0,0
1710274650565,53,/logs/fetch-all-habits,200,OK,Test Thread Group 1-4,text,true,,410,354,20,20,http://172.167.242.26/logs/fetch-all-habits,53,0,0
1710274650569,50,/exercise/get-workout-by-id/:id,200,OK,Test Thread Group 1-13,text,true,,1180,394,20,20,http://172.167.242.26/exercise/get-workout-by-id/65f05961ea6c5d9b67c5135c,50,0,0
1710274650578,42,/logs/get-log-by-id/:id,200,OK,Test Thread Group 1-5,text,true,,621,382,20,20,http://172.167.242.26/logs/get-log-by-id/65f05960ea6c5d9b67c50fad,42,0,0
1710274650575,44,/logs/get-log-ids,200,OK,Test Thread Group 1-2,text,true,,2731,349,20,20,http://172.167.242.26/logs/get-log-ids,44,0,0
1710274650576,44, /exercise/get-workout-ids/pull,200,OK,Test Thread Group 1-19,text,true,,2731,370,20,20,http://172.167.242.26/exercise/get-workout-ids/pull,44,0,0
1710274650578,44,/logs/get-log-ids,200,OK,Test Thread Group 1-8,text,true,,2731,355,20,20,http://172.167.242.26/logs/get-log-ids,44,0,0
1710274650519,114, /dashboard/get-workout-historic-data,200,OK,Test Thread Group 1-6,text,true,,1410,443,20,20,http://172.167.242.26/dashboard/get-workout-historic-data,114,0,0
1710274650616,40,/exercise/get-workouts,200,OK,Test Thread Group 1-20,text,true,,524,354,20,20,http://172.167.242.26/exercise/get-workouts,40,0,0
